,,,,계,,관광,,상용,,공용,,유학연수,,기타
년,월,대륙,국적,인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%)
"1995","03","유럽","덴마크","430","0.14","282","0.14","23","0.15","0","0.00","1","0.22","124","0.15"
"1995","03","유럽","아일랜드","165","0.05","123","0.06","8","0.05","0","0.00","0","0.00","34","0.04"
"1995","03","유럽","유럽 기타","591","0.19","179","0.09","25","0.16","3","0.16","3","0.67","381","0.45"
"1995","03","유럽 소계","","30,851","10.04","16,142","7.90","1,422","9.05","87","4.62","42","9.31","13,158","15.49"
"1995","03","오세아니아","오스트레일리아","1,895","0.62","1,307","0.64","175","1.11","29","1.54","7","1.55","377","0.44"
"1995","03","오세아니아","뉴질랜드","482","0.16","340","0.17","11","0.07","1","0.05","2","0.44","128","0.15"
"1995","03","오세아니아","오세아니아 기타","117","0.04","47","0.02","1","0.01","0","0.00","0","0.00","69","0.08"
"1995","03","오세아니아 소계","","2,494","0.81","1,694","0.83","187","1.19","30","1.59","9","2.00","574","0.68"
"1995","03","아프리카","남아프리카공화국","171","0.06","96","0.05","16","0.10","0","0.00","0","0.00","59","0.07"
"1995","03","아프리카","아프리카 기타","742","0.24","212","0.10","103","0.66","9","0.48","8","1.77","410","0.48"
"1995","03","아프리카 소계","","913","0.30","308","0.15","119","0.76","9","0.48","8","1.77","469","0.55"
"1995","03","기타","국적미상","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"1995","03","기타 소계","","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"1995","03","교포","교포","28,321","9.21","0","0.00","0","0.00","0","0.00","0","0.00","28,321","33.33"
"1995","03","교포 소계","","28,321","9.21","0","0.00","0","0.00","0","0.00","0","0.00","28,321","33.33"
"1995","03 소계","","","307,420","100.00","204,407","100.00","15,713","100.00","1,884","100.00","451","100.00","84,965","100.00"
"1995","04","아시아","중국","14,711","4.93","2,224","1.19","2,190","13.68","220","8.48","30","11.32","10,047","10.90"
"1995","04","아시아","일본","113,041","37.91","103,413","55.26","6,598","41.22","162","6.24","127","47.92","2,741","2.97"
"1995","04","아시아","대만","12,090","4.05","11,430","6.11","26","0.16","12","0.46","5","1.89","617","0.67"
"1995","04","아시아","홍콩","8,807","2.95","8,349","4.46","30","0.19","0","0.00","0","0.00","428","0.46"
"1995","04","아시아","필리핀","14,239","4.78","2,363","1.26","275","1.72","30","1.16","0","0.00","11,571","12.56"
"1995","04","아시아","인도네시아","2,480","0.83","840","0.45","18","0.11","11","0.42","2","0.75","1,609","1.75"
"1995","04","아시아","태국","9,328","3.13","6,414","3.43","8","0.05","34","1.31","0","0.00","2,872","3.12"
"1995","04","아시아","베트남","952","0.32","181","0.10","172","1.07","45","1.73","1","0.38","553","0.60"
"1995","04","아시아","인도","2,632","0.88","494","0.26","526","3.29","11","0.42","1","0.38","1,600","1.74"
"1995","04","아시아","말레이시아","2,220","0.74","1,210","0.65","17","0.11","4","0.15","0","0.00","989","1.07"
"1995","04","아시아","싱가포르","2,705","0.91","1,458","0.78","20","0.12","2","0.08","1","0.38","1,224","1.33"
"1995","04","아시아","몽골","235","0.08","175","0.09","54","0.34","5","0.19","1","0.38","0","0.00"
"1995","04","아시아","우즈베키스탄","229","0.08","98","0.05","2","0.01","0","0.00","7","2.64","122","0.13"
"1995","04","아시아","미얀마","1,444","0.48","212","0.11","30","0.19","0","0.00","3","1.13","1,199","1.30"
"1995","04","아시아","GCC","174","0.06","133","0.07","25","0.16","11","0.42","0","0.00","5","0.01"
"1995","04","아시아","카자흐스탄","207","0.07","152","0.08","2","0.01","0","0.00","1","0.38","52","0.06"
"1995","04","아시아","터키","249","0.08","154","0.08","1","0.01","0","0.00","0","0.00","94","0.10"
"1995","04","아시아","캄보디아","5","0.00","3","0.00","1","0.01","1","0.04","0","0.00","0","0.00"
"1995","04","아시아","스리랑카","319","0.11","56","0.03","44","0.27","6","0.23","0","0.00","213","0.23"
"1995","04","아시아","방글라데시","685","0.23","171","0.09","47","0.29","1","0.04","4","1.51","462","0.50"
"1995","04","아시아","파키스탄","813","0.27","364","0.19","19","0.12","6","0.23","1","0.38","423","0.46"
"1995","04","아시아","이스라엘","665","0.22","436","0.23","10","0.06","0","0.00","0","0.00","219","0.24"
"1995","04","아시아","이란","227","0.08","23","0.01","114","0.71","3","0.12","0","0.00","87","0.09"
"1995","04","아시아","아시아 기타","399","0.13","164","0.09","60","0.37","14","0.54","1","0.38","160","0.17"
"1995","04","아시아 소계","","188,856","63.34","140,517","75.08","10,289","64.27","578","22.27","185","69.81","37,287","40.46"
